id,net_charge,muH,plddt,dist_nc,score
seq_735,0.11538461538461539,0.16387439331698775,0.8853846153846152,38.55271,-0.2663972641842922
seq_721,0.4444444444444444,0.367915965744947,0.866111111111111,26.049522,0.8168020509469573
seq_709,-0.03333333333333333,0.1338650784495184,0.8456666666666667,20.565212,-0.4933412744190746
seq_912,0.10810810810810811,0.09054370334126179,0.6394594594594597,43.622322,-0.8807949968072044
seq_1233,0.4444444444444444,0.6118404386930011,0.6933333333333334,17.523746,1.8636466379094498
seq_1227,0.7222222222222222,0.2576732911050342,0.9066666666666667,26.143187,0.3755886777473929
seq_906,0.21621621621621623,0.16378497863855535,0.7389189189189189,13.762777,-0.3881021338342503
seq_61,0.22448979591836735,0.18510810983371054,0.5859183673469388,23.30064,-0.4324186345049168
seq_537,0.15384615384615385,0.349567695001489,0.9138461538461539,19.100893,0.7001461673151375
seq_251,0.1891891891891892,0.3371845870069518,0.681081081081081,57.25195,0.41430131341313725
seq_245,0.2857142857142857,0.31557628511345714,0.8066666666666668,5.442391,0.45597666366252376
seq_523,0.26666666666666666,0.3716419947571519,0.8246666666666667,23.695593,0.7495433071190929
seq_75,0.3333333333333333,0.2548481332069024,0.7994444444444445,10.64443,0.1570184438122899
seq_279,0.5,0.7909703734561554,0.741,26.721447,2.8208518672807763
seq_49,0.2857142857142857,0.22458240330967955,0.6976190476190477,34.519997,-0.10804036440398335
seq_292,0.13513513513513514,0.17701137286529334,0.914864864864865,46.897198,-0.16629448702488459
seq_286,0.19047619047619047,0.2999907552391556,0.5314285714285715,13.791205,0.079001395243397
seq_1019,0.09090909090909091,0.208308853999202,0.8812121212121212,41.13882,-0.05451633606459616
seq_1031,0.12,0.18199175585484295,0.6812,35.9055,-0.3788412207257852
seq_1025,0.12,0.19923096625760423,0.7647999999999999,33.481293,-0.20904516871197898
seq_443,0.0,0.20051788373599355,0.624,10.789537,-0.37341058132003235
seq_325,0.16,0.09179979082907083,0.9239999999999999,36.04122,-0.577001045854646
seq_331,0.2,0.09646396734320584,0.6951999999999999,27.928652,-0.7724801632839708
seq_457,0.13636363636363635,0.24476122833464506,0.9218181818181819,31.805916,0.17971523258231636
seq_1186,0.6666666666666666,0.16279608131853152,0.7477777777777779,26.781954,-0.2715751489628979
seq_319,0.16,0.11873815153838725,0.6807999999999998,30.341671,-0.685509242308064
seq_1192,0.3448275862068966,0.27846402753556965,0.906896551724138,42.345695,0.3854235859537103
seq_480,0.047619047619047616,0.3444629781965048,0.6738095238095236,46.66935,0.40802917669680916
seq_1179,0.4,0.3752216941969529,0.8400000000000001,59.10171,0.8161084709847648
seq_494,0.2727272727272727,0.2804425468044592,0.6536363636363636,27.723831,0.12403091584047754
seq_1145,0.0625,0.3041107092513273,0.7328125,37.824295,0.2689910462566365
seq_1151,0.125,0.32682737309622095,0.7549999999999999,38.758068,0.4203868654811047
seq_127,0.25,0.15771718730790804,0.8745833333333334,36.72474,-0.2743307301271263
seq_899,0.10810810810810811,0.1828577626697352,0.9221621621621623,54.674248,-0.13652199746213478
seq_641,0.16666666666666666,0.2938562432396739,0.8570833333333333,30.323055,0.36803121619836965
seq_655,0.23076923076923078,0.2145612060377951,0.6861538461538461,27.29508,-0.1833478159648707
seq_133,0.3333333333333333,0.2848816731930588,0.6883333333333334,31.694792,0.1960750326319607
seq_1384,0.3125,0.28252838761768534,0.9175,22.319433,0.40826693808842673
seq_669,0.15384615384615385,0.3333589718893123,0.8469230769230769,18.074448,0.5521794748311768
seq_1390,0.5,0.08884438486222238,0.8485714285714285,19.712023,-0.5822066471174596
seq_682,0.35714285714285715,0.496425016014759,0.7578571428571431,15.258536,1.3292679372166525
seq_696,-0.045454545454545456,0.11371790275005066,0.7620454545454544,34.887497,-0.6807286680679288
seq_866,0.125,0.22127459752265843,0.9249999999999999,34.925705,0.06262298761329221
seq_1347,0.3333333333333333,0.26299760411897827,0.8566666666666668,23.477215,0.25498802059489156
